tiktok_item_id,creator,tiktok_link
7499840476514766111,britainbennett,https://www.tiktok.com/@britainbennett/video/7499840476514766111
7501743716680404255,britainbennett,https://www.tiktok.com/@britainbennett/video/7501743716680404255
7497987361037454622,carrieithome,https://www.tiktok.com/@carrieithome/video/7497987361037454622
7497031781535730975,clarityhome,https://www.tiktok.com/@clarityhome/video/7497031781535730975
7494453775915109678,lolajc777,https://www.tiktok.com/@lolajc777/video/7494453775915109678
7497775011571273003,simplysoutherncottage,https://www.tiktok.com/@simplysoutherncottage/video/7497775011571273003
7505582268795178271,alishafloryn,https://www.tiktok.com/@alishafloryn/video/7505582268795178271
7506405067788963103,alishafloryn,https://www.tiktok.com/@alishafloryn/video/7506405067788963103
7506304463158725930,allaboutmicha,https://www.tiktok.com/@allaboutmicha/video/7506304463158725930
7511776462790315307,allaboutmicha,https://www.tiktok.com/@allaboutmicha/video/7511776462790315307
7511723180814355755,allaboutmicha,https://www.tiktok.com/@allaboutmicha/video/7511723180814355755
7511523128028220715,homewithmike_,https://www.tiktok.com/@homewithmike_/video/7511523128028220715
7511379651634269483,keonasdeals,https://www.tiktok.com/@keonasdeals/video/7511379651634269483
7509559694483115294,reallyrians,https://www.tiktok.com/@reallyrians/video/7509559694483115294
7508734457117986078,carrieithome,https://www.tiktok.com/@carrieithome/video/7508734457117986078
7508545526032370975,alishafloryn,https://www.tiktok.com/@alishafloryn/video/7508545526032370975
7507579766753611051,allaboutmicha,https://www.tiktok.com/@allaboutmicha/video/7507579766753611051
7506157829691116831,carrieithome,https://www.tiktok.com/@carrieithome/video/7506157829691116831
7504291768834231583,carrieithome,https://www.tiktok.com/@carrieithome/video/7504291768834231583
7499598150097702175,sydsykes,https://www.tiktok.com/@sydsykes/video/7499598150097702175
7516610654103407914,@lafevreliving,https://www.tiktok.com/@lafevreliving/video/7516610654103407914?is_from_webapp=1&sender_device=pc
7516434175763746079,@hannah.is.home,https://www.tiktok.com/@hannah.is.home/video/7516434175763746079?is_from_webapp=1&sender_device=pc
7516341367073918254,@keonasdeals,https://www.tiktok.com/@keonasdeals/video/7516341367073918254?is_from_webapp=1&sender_device=pc
7515188095063559455,@clarityhome,https://www.tiktok.com/@clarityhome/video/7515188095063559455?is_from_webapp=1&sender_device=pc
7516810514811358495,@alishafloryn,https://www.tiktok.com/@alishafloryn/video/7516810514811358495?is_from_webapp=1&sender_device=pc
